basho,day,rikishi1_id,rikishi1_rank,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_result,rikishi2_win
2020.01,1,11726,M17w,1-0 (14-1),1,yorikiri,11785,J1w,0-1 (7-8),0
2020.01,1,11785,J1w,0-1 (7-8),0,yorikiri,11726,M17w,1-0 (14-1),1
2020.01,1,6753,M16w,0-1 (8-7),0,hikiotoshi,12231,M17e,1-0 (11-4),1
2020.01,1,12231,M17e,1-0 (11-4),1,hikiotoshi,6753,M16w,0-1 (8-7),0
2020.01,1,6473,M16e,1-0 (9-6),1,tsukiotoshi,6491,M15w,0-1 (8-7),0
2020.01,1,6491,M15w,0-1 (8-7),0,tsukiotoshi,6473,M16e,1-0 (9-6),1
2020.01,1,11723,M15e,1-0 (7-8),1,yorikiri,12024,M14w,0-1 (6-9),0
2020.01,1,12024,M14w,0-1 (6-9),0,yorikiri,11723,M15e,1-0 (7-8),1
2020.01,1,7153,M13w,0-1 (2-13),0,watashikomi,11868,M14e,1-0 (8-7),1
2020.01,1,11868,M14e,1-0 (8-7),1,watashikomi,7153,M13w,0-1 (2-13),0
2020.01,1,1226,M13e,0-1 (7-8),0,oshidashi,7240,M12w,1-0 (6-9),1
2020.01,1,7240,M12w,1-0 (6-9),1,oshidashi,1226,M13e,0-1 (7-8),0
2020.01,1,11845,M11w,1-0 (10-5),1,oshidashi,12113,M12e,0-1 (6-9),0
2020.01,1,12113,M12e,0-1 (6-9),0,oshidashi,11845,M11w,1-0 (10-5),1
2020.01,1,11934,M11e,1-0 (7-8),1,tsukidashi,12051,M10w,0-1 (6-9),0
2020.01,1,12051,M10w,0-1 (6-9),0,tsukidashi,11934,M11e,1-0 (7-8),1
2020.01,1,2879,M10e,0-1 (7-8),0,yorikiri,12292,M9w,1-0 (11-4),1
2020.01,1,12292,M9w,1-0 (11-4),1,yorikiri,2879,M10e,0-1 (7-8),0
2020.01,1,6594,M8w,0-1 (10-5),0,yorikiri,11855,M9e,1-0 (7-8),1
2020.01,1,11855,M9e,1-0 (7-8),1,yorikiri,6594,M8w,0-1 (10-5),0
2020.01,1,11786,M8e,1-0 (4-11),1,hatakikomi,12043,M7w,0-1 (9-6),0
2020.01,1,12043,M7w,0-1 (9-6),0,hatakikomi,11786,M8e,1-0 (4-11),1
2020.01,1,6599,M6w,0-1 (5-10),0,yorikiri,6614,M7e,1-0 (7-8),1
2020.01,1,6614,M7e,1-0 (7-8),1,yorikiri,6599,M6w,0-1 (5-10),0
2020.01,1,11728,M6e,0-1 (7-8),0,shitatenage,12412,M5w,1-0 (8-7),1
2020.01,1,12412,M5w,1-0 (8-7),1,shitatenage,11728,M6e,0-1 (7-8),0
2020.01,1,11946,M5e,0-1 (1-7-7),0,oshitaoshi,12130,M4w,1-0 (13-2),1
2020.01,1,12130,M4w,1-0 (13-2),1,oshitaoshi,11946,M5e,0-1 (1-7-7),0
2020.01,1,6463,M4e,1-0 (8-7),1,tsukiotoshi,12094,K1e,0-1 (5-10),0
2020.01,1,12094,K1e,0-1 (5-10),0,tsukiotoshi,6463,M4e,1-0 (8-7),1
2020.01,1,5944,M3e,1-0 (5-10),1,oshidashi,6480,S1w,0-1 (6-9),0
2020.01,1,6480,S1w,0-1 (6-9),0,oshidashi,5944,M3e,1-0 (5-10),1
2020.01,1,12210,M2w,0-1 (7-8),0,yorikiri,12291,S1e,1-0 (10-5),1
2020.01,1,12291,S1e,1-0 (10-5),1,yorikiri,12210,M2w,0-1 (7-8),0
2020.01,1,6468,O1w,0-1 (5-10),0,tsukiotoshi,12239,M2e,1-0 (11-4),1
2020.01,1,12239,M2e,1-0 (11-4),1,tsukiotoshi,6468,O1w,0-1 (5-10),0
2020.01,1,11784,M1w,0-1 (5-10),0,oshidashi,12191,O1e,1-0 (11-4),1
2020.01,1,12191,O1e,1-0 (11-4),1,oshidashi,11784,M1w,0-1 (5-10),0
2020.01,1,1219,Y1w,0-1 (1-4-10),0,yorikiri,12055,M1e,1-0 (9-6),1
2020.01,1,12055,M1e,1-0 (9-6),1,yorikiri,1219,Y1w,0-1 (1-4-10),0
2020.01,1,1123,Y1e,1-0 (1-3-11),1,yorikiri,11985,K1w,0-1 (7-8),0
2020.01,1,11985,K1w,0-1 (7-8),0,yorikiri,1123,Y1e,1-0 (1-3-11),1
2020.01,2,12231,M17e,1-1 (11-4),0,hatakikomi,12270,J2e,1-1 (8-7),1
2020.01,2,12270,J2e,1-1 (8-7),1,hatakikomi,12231,M17e,1-1 (11-4),0
2020.01,2,6753,M16w,1-1 (8-7),1,oshidashi,11726,M17w,1-1 (14-1),0
2020.01,2,11726,M17w,1-1 (14-1),0,oshidashi,6753,M16w,1-1 (8-7),1
2020.01,2,6473,M16e,1-1 (9-6),0,hatakikomi,11723,M15e,2-0 (7-8),1
2020.01,2,11723,M15e,2-0 (7-8),1,hatakikomi,6473,M16e,1-1 (9-6),0
2020.01,2,6491,M15w,0-2 (8-7),0,tsukiotoshi,12024,M14w,1-1 (6-9),1
2020.01,2,12024,M14w,1-1 (6-9),1,tsukiotoshi,6491,M15w,0-2 (8-7),0
2020.01,2,1226,M13e,0-2 (7-8),0,shitatenage,11868,M14e,2-0 (8-7),1
2020.01,2,11868,M14e,2-0 (8-7),1,shitatenage,1226,M13e,0-2 (7-8),0
2020.01,2,7153,M13w,1-1 (2-13),1,oshidashi,7240,M12w,1-1 (6-9),0
2020.01,2,7240,M12w,1-1 (6-9),0,oshidashi,7153,M13w,1-1 (2-13),1
2020.01,2,11934,M11e,1-1 (7-8),0,yorikiri,12113,M12e,1-1 (6-9),1
2020.01,2,12113,M12e,1-1 (6-9),1,yorikiri,11934,M11e,1-1 (7-8),0
2020.01,2,11845,M11w,2-0 (10-5),1,oshidashi,12051,M10w,0-2 (6-9),0
2020.01,2,12051,M10w,0-2 (6-9),0,oshidashi,11845,M11w,2-0 (10-5),1
2020.01,2,2879,M10e,1-1 (7-8),1,uwatedashinage,11855,M9e,1-1 (7-8),0
2020.01,2,11855,M9e,1-1 (7-8),0,uwatedashinage,2879,M10e,1-1 (7-8),1
2020.01,2,6594,M8w,1-1 (10-5),1,yorikiri,12292,M9w,1-1 (11-4),0
2020.01,2,12292,M9w,1-1 (11-4),0,yorikiri,6594,M8w,1-1 (10-5),1
2020.01,2,6614,M7e,1-1 (7-8),0,hatakikomi,11786,M8e,2-0 (4-11),1
2020.01,2,11786,M8e,2-0 (4-11),1,hatakikomi,6614,M7e,1-1 (7-8),0
