id,stable_id,rank,rikishi,shusshin,birth_date,height,weight
1123,36,Y1e,Hakuho,Mongolia,1985-03-11,192.0,151.0
1219,30,Y1w,Kakuryu,Mongolia,1985-08-10,186.0,150.0
1226,8,M11w,Kotoshogiku,Fukuoka,1984-01-30,180.0,177.0
2879,42,M17e,Sadanoumi,Kumamoto,1987-05-11,184.0,131.2
5944,12,M10e,Tamawashi,Mongolia,1984-11-16,189.0,168.0
6463,23,M5e,Okinoumi,Shimane,1985-07-29,191.0,160.0
6468,42,O1w,Goeido,Osaka,1986-04-06,183.0,158.2
6473,6,M10w,Tochiozan,Kochi,1987-03-09,189.0,154.0
6480,22,S1e,Takayasu,Ibaraki,1990-02-28,187.0,175.0
6491,9,M9w,Ikioi,Osaka,1986-10-11,194.0,157.0
6594,44,M14e,Ryuden,Yamanashi,1990-11-10,190.0,148.0
6596,9,M16e,Nishikigi,Iwate,1990-08-25,184.5,149.5
6599,6,M12e,Tochinoshin,Georgia,1987-10-13,192.0,176.0
6614,25,M15w,Shohozan,Fukuoka,1984-02-09,177.0,134.5
6642,5,M16e,Chiyonokuni,Mie,1990-07-10,182.0,144.0
6753,4,M11e,Kaisei,Brazil,1986-12-18,195.0,192.0
7153,8,M4e,Kotoeko,Miyazaki,1991-11-20,177.0,131.0
7239,4,M14w,Kyokushuho,Mongolia,1988-08-09,191.0,149.6
7240,5,M13e,Chiyomaru,Kagoshima,1991-04-17,178.0,189.0
8899,4,M16e,Kyokutaisei,Hokkaido,1989-10-18,184.0,128.2
8900,54,M13e,Akiseyama,Aichi,1985-07-18,182.0,183.0
9079,8,M15w,Kotoyuki,Kagawa,1991-04-02,176.0,162.4
11723,13,M16e,Azumaryu,Mongolia,1987-05-12,192.0,147.2
11726,54,M15w,Tokushoryu,Nara,1986-08-22,183.0,192.0
11728,32,M8e,Takarafuji,Aomori,1987-02-18,185.0,166.0
11784,42,M7e,Myogiryu,Hyogo,1986-10-22,187.0,155.0
11785,5,M7w,Chiyoshoma,Mongolia,1991-07-20,184.0,137.0
11786,6,M8w,Aoiyama,Bulgaria,1986-06-19,191.0,188.0
11840,5,M14w,Chiyonoo,Kagoshima,1991-05-29,180.0,149.0
11845,44,M12w,Kagayaki,Ishikawa,1994-06-01,193.0,160.0
11855,56,M2e,Takanosho,Chiba,1994-11-14,184.0,163.0
11868,32,M10w,Terutsuyoshi,Hyogo,1995-01-17,169.0,114.0
11918,24,M17e,Akua,Ibaraki,1990-11-06,184.0,168.0
11927,32,O1e,Terunofuji,Mongolia,1991-11-29,191.0,173.0
11934,5,M4w,Chiyotairyu,Tokyo,1988-11-14,181.0,171.0
11946,24,K1w,Meisei,Kagoshima,1995-07-24,180.0,151.0
11985,35,M1w,Daieisho,Saitama,1993-11-10,182.0,161.0
12024,54,M9w,Shimanoumi,Mie,1989-07-11,179.0,160.0
12026,54,M9e,Hidenoumi,Tokyo,1989-06-11,185.0,156.0
12043,41,M6e,Onosho,Aomori,1996-07-04,177.0,157.0
12051,36,M16w,Ishiura,Tottori,1990-01-10,174.0,110.0
12055,35,M1e,Endo,Ishikawa,1990-10-19,184.0,148.0
12094,53,M14w,Abi,Saitama,1994-05-04,185.0,121.0
12107,11,M2w,Ichinojo,Mongolia,1993-04-07,192.0,198.0
12113,35,M15e,Tsurugisho,Tokyo,1991-07-27,182.0,191.0
12130,7,O2e,Shodai,Kumamoto,1991-11-05,184.0,170.0
12144,35,M15e,Daishomaru,Osaka,1991-07-10,175.0,153.0
12191,56,O1w,Takakeisho,Hyogo,1996-08-05,175.0,183.0
12203,35,M3w,Tobizaru,Tokyo,1992-04-24,175.0,131.0
12210,10,S1w,Mitakeumi,Nagano,1992-12-25,179.0,172.0
12226,54,M13w,Ura,Osaka,1992-06-22,175.0,136.0
12231,30,M6w,Kiribayama,Mongolia,1996-04-24,187.0,138.0
12239,23,M3e,Hokutofuji,Saitama,1992-07-15,185.0,162.0
12270,8,M11w,Kotonowaka,Chiba,1997-11-19,188.0,166.0
12273,35,M14e,Daiamami,Kagoshima,1992-12-15,183.0,182.0
12291,19,O2w,Asanoyama,Toyama,1994-03-01,187.0,174.0
12292,7,M15e,Yutakayama,Niigata,1993-09-22,185.0,171.0
12352,32,M15w,Midorifuji,Shizuoka,1996-08-30,171.0,114.0
12362,25,M17e,Ichiyamamoto,Hokkaido,1993-10-01,187.0,133.0
12370,51,K1e,Wakatakakage,Fukushima,1994-12-06,180.0,129.0
12412,36,M11w,Enho,Ishikawa,1994-10-18,169.0,95.0
12449,8,M11w,Kotoshoho,Chiba,1999-08-26,188.0,144.0
12451,24,M5w,Hoshoryu,Mongolia,1999-05-22,186.0,131.0
